"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,3539015,2000
"Machinery",10,"Manufactured goods classified chiefly by material",106,836312323,2000
"Machinery",10,"Machinery and transport equipment",107,7725839908,2000
"Machinery",10,"Miscellaneous manufactured articles",108,158173303,2000
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,35955107,2000
"Electronics",11,"Manufactured goods classified chiefly by material",116,24525862,2000
"Electronics",11,"Machinery and transport equipment",117,2555876569,2000
"Electronics",11,"Miscellaneous manufactured articles",118,146063155,2000
"Aircraft",12,"Manufactured goods classified chiefly by material",126,133489,2000
"Aircraft",12,"Machinery and transport equipment",127,3153142822,2000
"Boilers",13,"Manufactured goods classified chiefly by material",136,451759133,2000
"Boilers",13,"Machinery and transport equipment",137,139260492,2000
"Boilers",13,"Miscellaneous manufactured articles",138,32283813,2000
"Ships",14,"Chemicals and related products, n.e.s.",145,13877702,2000
"Ships",14,"Machinery and transport equipment",147,41062340,2000
"Metal products",15,"Chemicals and related products, n.e.s.",155,12707553,2000
"Metal products",15,"Manufactured goods classified chiefly by material",156,3082184071,2000
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,867065248,2000
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,2670140,2000
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,1606349505,2000
"Construction materials and equipment",20,"Machinery and transport equipment",207,244855553,2000
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,496621729,2000
"Home and office products",21,"Manufactured goods classified chiefly by material",216,236444032,2000
"Home and office products",21,"Machinery and transport equipment",217,901658,2000
"Home and office products",21,"Miscellaneous manufactured articles",218,66817504,2000
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,1799599602,2000
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,28249895,2000
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,484073721,2000
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,15823892,2000
