"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,36724136,2003
"Machinery",10,"Manufactured goods classified chiefly by material",106,11101995380,2003
"Machinery",10,"Machinery and transport equipment",107,172366205136,2003
"Machinery",10,"Miscellaneous manufactured articles",108,3386510294,2003
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,31837193,2003
"Electronics",11,"Manufactured goods classified chiefly by material",116,203401511,2003
"Electronics",11,"Machinery and transport equipment",117,117241598752,2003
"Electronics",11,"Miscellaneous manufactured articles",118,17144626557,2003
"Aircraft",12,"Manufactured goods classified chiefly by material",126,34297556,2003
"Aircraft",12,"Machinery and transport equipment",127,2496753019,2003
"Boilers",13,"Manufactured goods classified chiefly by material",136,2913404226,2003
"Boilers",13,"Machinery and transport equipment",137,1263271700,2003
"Boilers",13,"Miscellaneous manufactured articles",138,25764559,2003
"Ships",14,"Chemicals and related products, n.e.s.",145,86213658,2003
"Ships",14,"Machinery and transport equipment",147,8858932850,2003
"Metal products",15,"Crude materials, inedible, except fuels",152,66,2003
"Metal products",15,"Chemicals and related products, n.e.s.",155,200532391,2003
"Metal products",15,"Manufactured goods classified chiefly by material",156,14017043712,2003
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,15882719,2003
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,8037,2003
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,5168784506,2003
"Construction materials and equipment",20,"Machinery and transport equipment",207,1709819388,2003
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,484266132,2003
"Home and office products",21,"Manufactured goods classified chiefly by material",216,850439280,2003
"Home and office products",21,"Machinery and transport equipment",217,12444385,2003
"Home and office products",21,"Miscellaneous manufactured articles",218,3832158545,2003
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,73207024,2003
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,38699092,2003
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,536868781,2003
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,13071062,2003
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,59083886,2003
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,465923924,2003
"Food Processing",31,"Food and live animals chiefly for food",310,568471842,2003
"Food Processing",31,"Beverages and tobacco",311,28819551,2003
"Food Processing",31,"Crude materials, inedible, except fuels",312,1527763,2003
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,22072306,2003
"Food Processing",31,"Manufactured goods classified chiefly by material",316,61691629,2003
"Food Processing",31,"Miscellaneous manufactured articles",318,563833687,2003
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,5815333,2003
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,1675224079,2003
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,555670354,2003
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,9401353,2003
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,878698629,2003
"Other Chemicals",42,"Food and live animals chiefly for food",420,67512169,2003
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,5200,2003
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,44859737,2003
