"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,2112774,2001
"Machinery",10,"Manufactured goods classified chiefly by material",106,2503575075,2001
"Machinery",10,"Machinery and transport equipment",107,23436167979,2001
"Machinery",10,"Miscellaneous manufactured articles",108,289240845,2001
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,10769909,2001
"Electronics",11,"Manufactured goods classified chiefly by material",116,22794686,2001
"Electronics",11,"Machinery and transport equipment",117,47651207934,2001
"Electronics",11,"Miscellaneous manufactured articles",118,2619216399,2001
"Aircraft",12,"Manufactured goods classified chiefly by material",126,198215,2001
"Aircraft",12,"Machinery and transport equipment",127,778154493,2001
"Boilers",13,"Manufactured goods classified chiefly by material",136,1187395198,2001
"Boilers",13,"Machinery and transport equipment",137,780043035,2001
"Boilers",13,"Miscellaneous manufactured articles",138,4369835,2001
"Ships",14,"Chemicals and related products, n.e.s.",145,9743175,2001
"Ships",14,"Machinery and transport equipment",147,6336978212,2001
"Metal products",15,"Crude materials, inedible, except fuels",152,0,2001
"Metal products",15,"Chemicals and related products, n.e.s.",155,50340770,2001
"Metal products",15,"Manufactured goods classified chiefly by material",156,5696658502,2001
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,11267889,2001
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,2133627343,2001
"Construction materials and equipment",20,"Machinery and transport equipment",207,1413532587,2001
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,224279687,2001
"Home and office products",21,"Manufactured goods classified chiefly by material",216,691540407,2001
"Home and office products",21,"Machinery and transport equipment",217,4359759,2001
"Home and office products",21,"Miscellaneous manufactured articles",218,679263614,2001
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,3772014,2001
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,5872730,2001
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,1235069236,2001
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,5153072,2001
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,122618201,2001
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,242495911,2001
"Food Processing",31,"Food and live animals chiefly for food",310,496130014,2001
"Food Processing",31,"Beverages and tobacco",311,31981886,2001
"Food Processing",31,"Crude materials, inedible, except fuels",312,3750821,2001
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,4392349,2001
"Food Processing",31,"Manufactured goods classified chiefly by material",316,86303073,2001
"Food Processing",31,"Miscellaneous manufactured articles",318,217030033,2001
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,1858541,2001
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,2162396089,2001
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,80207246,2001
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,4651917,2001
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,398860474,2001
"Other Chemicals",42,"Food and live animals chiefly for food",420,19874867,2001
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,13718,2001
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,5587826,2001
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,814062235,2001
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,794810490,2001
"Other Chemicals",42,"Miscellaneous manufactured articles",428,622809770,2001
"Agrochemicals",43,"Food and live animals chiefly for food",430,5838039,2001
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,36457779,2001
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,138803779,2001
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,109282618,2001
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,410626438,2001
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,6852814951,2001
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,5378838823,2001
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,25726768,2001
"Chemicals and health related products",44,"Machinery and transport equipment",447,239268344,2001
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,491560213,2001
"Coal",50,"Mineral fuels, lubricants and related materials",503,29270317,2001
"Mining",51,"Crude materials, inedible, except fuels",512,72985495,2001
"Mining",51,"Chemicals and related products, n.e.s.",515,54236072,2001
"Mining",51,"Manufactured goods classified chiefly by material",516,400776247,2001
"Mining",51,"Miscellaneous manufactured articles",518,249716930,2001
"Mining",51,"Commodities and transactions not classified elsewhere in the SITC",519,806276560,2001
"Oil",52,"Mineral fuels, lubricants and related materials",523,244789207,2001
"Precious Stones",54,"Crude materials, inedible, except fuels",542,487911,2001
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,8409459,2001
"Processed minerals",57,"Crude materials, inedible, except fuels",572,61732324,2001
"Processed minerals",57,"Mineral fuels, lubricants and related materials",573,0,2001
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,243858051,2001
